venue,format,matches,completed_matches,no_results,ties,draws,batting_first_matches,batting_first_wins,batting_first_win_pct,bowling_first_matches,bowling_first_wins,bowling_first_win_pct,innings_count,total_runs,first_innings_count,first_innings_total_runs,second_innings_count,second_innings_total_runs,total_bowler_wickets,fast_wickets,medium_wickets,off_spin_wickets,leg_spin_wickets,unknown_wickets,avg_score,max_score,min_score,avg_first_innings_score,max_first_innings_score,min_first_innings_score,avg_second_innings_score,max_second_innings_score,min_second_innings_score,fast_wicket_pct,medium_wicket_pct,off_spin_wicket_pct,leg_spin_wicket_pct,pace_wicket_pct,spin_wicket_pct
"7he Sevens Stadium, Dubai",T20,4,4,0,0,0,1,1,100.0,3,3,100.0,8,1066,4,541,4,525,54,0,0,0,0,54,133.25,190,79,135.25,190,79,131.25,166,83,0.0,0.0,0.0,0.0,0.0,0.0
"Abhimanyu Cricket Academy, Dehradun",T20,10,10,0,0,0,4,4,100.0,6,6,100.0,20,2700,10,1502,10,1198,112,0,0,0,0,112,135.0,196,67,150.2,196,76,119.8,156,67,0.0,0.0,0.0,0.0,0.0,0.0
"ACA Stadium, Barsapara",T20,10,10,0,0,0,6,6,100.0,4,4,100.0,20,2717,10,1441,10,1276,116,0,0,0,0,116,135.85,193,90,144.1,193,90,127.6,157,91,0.0,0.0,0.0,0.0,0.0,0.0
"ACA Stadium,Mangalagiri",T20,7,7,0,0,0,4,4,100.0,3,3,100.0,14,1860,7,1135,7,725,78,0,0,0,0,78,132.86,222,55,162.14,222,102,103.57,147,55,0.0,0.0,0.0,0.0,0.0,0.0
"Achimota Senior Secondary School A Field, Accra",T20,22,21,0,1,0,8,8,100.0,13,13,100.0,46,4562,22,2518,22,2038,293,0,0,0,0,293,99.17,237,2,114.45,237,66,92.64,162,29,0.0,0.0,0.0,0.0,0.0,0.0
"Achimota Senior Secondary School B Field, Accra",T20,15,14,1,0,0,9,9,100.0,5,5,100.0,29,3110,15,2016,14,1094,197,0,0,0,0,197,107.24,236,20,134.4,236,58,78.14,126,20,0.0,0.0,0.0,0.0,0.0,0.0
Adelaide Oval,ODI,34,33,0,1,0,14,14,100.0,19,19,100.0,68,15583,34,8023,34,7560,505,0,0,0,0,505,229.16,369,105,235.97,369,105,222.35,312,106,0.0,0.0,0.0,0.0,0.0,0.0
Adelaide Oval,T20,127,124,3,0,0,65,65,100.0,59,59,100.0,253,37761,127,19917,126,17844,1532,0,0,0,0,1532,149.25,251,18,156.83,251,25,141.62,230,18,0.0,0.0,0.0,0.0,0.0,0.0
Adelaide Oval,Test,21,18,0,0,3,10,10,100.0,8,8,100.0,80,23454,21,8568,21,7115,682,0,0,0,0,682,293.18,620,19,408.0,604,180,338.81,620,172,0.0,0.0,0.0,0.0,0.0,0.0
Adelaide Oval No. 2,T20,1,1,0,0,0,0,0,0.0,1,1,100.0,2,219,1,108,1,111,9,0,0,0,0,9,109.5,111,108,108.0,108,108,111.0,111,111,0.0,0.0,0.0,0.0,0.0,0.0
Affies Park,ODI,1,1,0,0,0,0,0,0.0,1,1,100.0,2,329,1,164,1,165,15,0,0,0,0,15,164.5,165,164,164.0,164,164,165.0,165,165,0.0,0.0,0.0,0.0,0.0,0.0
Aigburth,T20,2,2,0,0,0,0,0,0.0,2,2,100.0,4,551,2,271,2,280,25,0,0,0,0,25,137.75,178,98,135.5,173,98,140.0,178,102,0.0,0.0,0.0,0.0,0.0,0.0
"Aigburth, Liverpool",T20,4,4,0,0,0,3,3,100.0,1,1,100.0,8,1036,4,541,4,495,62,0,0,0,0,62,129.5,166,87,135.25,166,87,123.75,142,88,0.0,0.0,0.0,0.0,0.0,0.0
"Airforce Complex ground, Palam",T20,21,19,2,0,0,7,7,100.0,12,12,100.0,40,4740,21,2516,19,2224,219,0,0,0,0,219,118.5,165,57,119.81,165,57,117.05,153,60,0.0,0.0,0.0,0.0,0.0,0.0
"Airforce Complex ground, Palam II",T20,14,12,2,0,0,4,4,100.0,8,8,100.0,26,3523,14,1941,12,1582,142,0,0,0,0,142,135.5,209,50,138.64,209,50,131.83,165,90,0.0,0.0,0.0,0.0,0.0,0.0
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),ODI,28,26,1,1,0,10,10,100.0,16,16,100.0,55,9688,28,5167,27,4521,448,0,0,0,0,448,176.15,324,65,184.54,324,78,167.44,308,65,0.0,0.0,0.0,0.0,0.0,0.0
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20,134,134,0,0,0,60,60,100.0,74,74,100.0,268,35984,134,19609,134,16375,1700,0,0,0,0,1700,134.27,282,13,146.34,282,20,122.2,199,13,0.0,0.0,0.0,0.0,0.0,0.0
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),ODI,5,5,0,0,0,3,3,100.0,2,2,100.0,10,2038,5,1149,5,889,78,0,0,0,0,78,203.8,273,137,229.8,273,158,177.8,255,137,0.0,0.0,0.0,0.0,0.0,0.0
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),T20,47,47,0,0,0,27,27,100.0,20,20,100.0,94,11913,47,6886,47,5027,568,0,0,0,0,568,126.73,318,25,146.51,318,25,106.96,199,26,0.0,0.0,0.0,0.0,0.0,0.0
"Albert Park 1, Suva",T20,12,12,0,0,0,8,8,100.0,4,4,100.0,24,2740,12,1691,12,1049,145,0,0,0,0,145,114.17,224,50,140.92,224,74,87.42,136,50,0.0,0.0,0.0,0.0,0.0,0.0
"Albert Park 2, Suva",T20,9,9,0,0,0,4,4,100.0,5,5,100.0,18,1939,9,1026,9,913,103,0,0,0,0,103,107.72,156,42,114.0,156,42,101.44,134,43,0.0,0.0,0.0,0.0,0.0,0.0
Albertslund Cricket Club,T20,6,6,0,0,0,4,4,100.0,2,2,100.0,12,1226,6,719,6,507,77,0,0,0,0,77,102.17,175,70,119.83,175,80,84.5,99,70,0.0,0.0,0.0,0.0,0.0,0.0
Alembic 1 Cricket Ground,T20,3,3,0,0,0,1,1,100.0,2,2,100.0,6,980,3,543,3,437,35,0,0,0,0,35,163.33,236,97,181.0,236,97,145.67,214,98,0.0,0.0,0.0,0.0,0.0,0.0
