match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1347493,2023,2023-08-01,"North Marine Road Ground, Scarborough",1,0.1,0.1,Kent,Yorkshire,MK O'Riordan,BG Compton,BO Coad,0,0,,,,,,,,,,,,,
1347493,2023,2023-08-01,"North Marine Road Ground, Scarborough",1,0.2,0.2,Kent,Yorkshire,MK O'Riordan,BG Compton,BO Coad,0,0,,,,,,,,,,,,,
1347493,2023,2023-08-01,"North Marine Road Ground, Scarborough",1,0.3,0.3,Kent,Yorkshire,MK O'Riordan,BG Compton,BO Coad,1,0,,,,,,,,,,,,,
1347493,2023,2023-08-01,"North Marine Road Ground, Scarborough",1,0.4,0.4,Kent,Yorkshire,BG Compton,MK O'Riordan,BO Coad,0,0,,,,,,,,,,,,,
1347493,2023,2023-08-01,"North Marine Road Ground, Scarborough",1,0.5,0.5,Kent,Yorkshire,BG Compton,MK O'Riordan,BO Coad,0,0,,,,,,,,,,,,,
1347493,2023,2023-08-01,"North Marine Road Ground, Scarborough",1,0.6,0.6,Kent,Yorkshire,BG Compton,MK O'Riordan,BO Coad,0,0,,,,,,,,,,,,,
1347493,2023,2023-08-01,"North Marine Road Ground, Scarborough",1,1.1,1.1,Kent,Yorkshire,MK O'Riordan,BG Compton,DJ Leech,1,0,,,,,,,,,,,,,
1347493,2023,2023-08-01,"North Marine Road Ground, Scarborough",1,1.2,1.2,Kent,Yorkshire,BG Compton,MK O'Riordan,DJ Leech,4,0,,,,,,,,,,,,,
1347493,2023,2023-08-01,"North Marine Road Ground, Scarborough",1,1.3,1.3,Kent,Yorkshire,BG Compton,MK O'Riordan,DJ Leech,0,0,,,,,,,,,,,,,
1347493,2023,2023-08-01,"North Marine Road Ground, Scarborough",1,1.4,1.4,Kent,Yorkshire,BG Compton,MK O'Riordan,DJ Leech,0,0,,,,,,,,,,,,,
1347493,2023,2023-08-01,"North Marine Road Ground, Scarborough",1,1.5,1.5,Kent,Yorkshire,BG Compton,MK O'Riordan,DJ Leech,0,0,,,,,,,,,,,,,
