match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,0.1,0.1,North West,Boland,JN Malan,M Prince,Siyabonga Mahima,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,0.2,0.2,North West,Boland,M Prince,JN Malan,Siyabonga Mahima,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,0.3,0.3,North West,Boland,JN Malan,M Prince,Siyabonga Mahima,0,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,0.4,0.4,North West,Boland,JN Malan,M Prince,Siyabonga Mahima,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,0.5,0.5,North West,Boland,M Prince,JN Malan,Siyabonga Mahima,2,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,0.6,0.6,North West,Boland,M Prince,JN Malan,Siyabonga Mahima,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,1.1,1.1,North West,Boland,M Prince,JN Malan,GA Stuurman,0,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,1.2,1.2,North West,Boland,M Prince,JN Malan,GA Stuurman,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,1.3,1.3,North West,Boland,JN Malan,M Prince,GA Stuurman,0,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,1.4,1.4,North West,Boland,JN Malan,M Prince,GA Stuurman,3,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,1.5,1.5,North West,Boland,M Prince,JN Malan,GA Stuurman,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,1.6,1.6,North West,Boland,JN Malan,M Prince,GA Stuurman,0,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,2.1,2.1,North West,Boland,M Prince,JN Malan,Siyabonga Mahima,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,2.2,2.2,North West,Boland,JN Malan,M Prince,Siyabonga Mahima,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,2.3,2.3,North West,Boland,M Prince,JN Malan,Siyabonga Mahima,0,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,2.4,2.4,North West,Boland,M Prince,JN Malan,Siyabonga Mahima,0,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,2.5,2.5,North West,Boland,M Prince,JN Malan,Siyabonga Mahima,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,2.6,2.6,North West,Boland,JN Malan,M Prince,Siyabonga Mahima,0,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,3.1,3.1,North West,Boland,M Prince,JN Malan,GA Stuurman,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,3.2,3.2,North West,Boland,JN Malan,M Prince,GA Stuurman,6,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,3.3,3.3,North West,Boland,JN Malan,M Prince,GA Stuurman,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,3.4,3.4,North West,Boland,M Prince,JN Malan,GA Stuurman,0,1,1,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,3.5,3.4,North West,Boland,M Prince,JN Malan,GA Stuurman,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,3.6,3.5,North West,Boland,JN Malan,M Prince,GA Stuurman,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,3.7,3.6,North West,Boland,M Prince,JN Malan,GA Stuurman,4,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,4.1,4.1,North West,Boland,JN Malan,M Prince,Siyabonga Mahima,0,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,4.2,4.2,North West,Boland,JN Malan,M Prince,Siyabonga Mahima,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,4.3,4.3,North West,Boland,M Prince,JN Malan,Siyabonga Mahima,0,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,4.4,4.4,North West,Boland,M Prince,JN Malan,Siyabonga Mahima,1,0,,,,,,,,,,,,,
1444776,2024/25,2024-10-06,"Senwes Park, Potchefstroom",1,4.5,4.5,North West,Boland,JN Malan,M Prince,Siyabonga Mahima,1,0,,,,,,,,,,,,,
