match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,0.1,0.1,Central Districts,Otago,BL Wiggins,GR Hay,JA Duffy,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,0.2,0.2,Central Districts,Otago,BL Wiggins,GR Hay,JA Duffy,2,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,0.3,0.3,Central Districts,Otago,BL Wiggins,GR Hay,JA Duffy,4,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,0.4,0.4,Central Districts,Otago,BL Wiggins,GR Hay,JA Duffy,4,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,0.5,0.5,Central Districts,Otago,BL Wiggins,GR Hay,JA Duffy,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,0.6,0.6,Central Districts,Otago,BL Wiggins,GR Hay,JA Duffy,1,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,1.1,1.1,Central Districts,Otago,BL Wiggins,GR Hay,AK Kitchen,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,1.2,1.2,Central Districts,Otago,BL Wiggins,GR Hay,AK Kitchen,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,1.3,1.3,Central Districts,Otago,BL Wiggins,GR Hay,AK Kitchen,4,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,1.4,1.4,Central Districts,Otago,BL Wiggins,GR Hay,AK Kitchen,1,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,1.5,1.5,Central Districts,Otago,GR Hay,BL Wiggins,AK Kitchen,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,1.6,1.6,Central Districts,Otago,GR Hay,BL Wiggins,AK Kitchen,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,2.1,2.1,Central Districts,Otago,BL Wiggins,GR Hay,MB Bacon,1,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,2.2,2.2,Central Districts,Otago,GR Hay,BL Wiggins,MB Bacon,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,2.3,2.3,Central Districts,Otago,GR Hay,BL Wiggins,MB Bacon,0,1,,,,1,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,2.4,2.4,Central Districts,Otago,BL Wiggins,GR Hay,MB Bacon,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,2.5,2.5,Central Districts,Otago,BL Wiggins,GR Hay,MB Bacon,1,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,2.6,2.6,Central Districts,Otago,GR Hay,BL Wiggins,MB Bacon,4,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,3.1,3.1,Central Districts,Otago,BL Wiggins,GR Hay,JM Gibson,4,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,3.2,3.2,Central Districts,Otago,BL Wiggins,GR Hay,JM Gibson,0,0,,,,,,,caught and bowled,BL Wiggins,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,3.3,3.3,Central Districts,Otago,D Cleaver,GR Hay,JM Gibson,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,3.4,3.4,Central Districts,Otago,D Cleaver,GR Hay,JM Gibson,4,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,3.5,3.5,Central Districts,Otago,D Cleaver,GR Hay,JM Gibson,4,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,3.6,3.6,Central Districts,Otago,D Cleaver,GR Hay,JM Gibson,1,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,4.1,4.1,Central Districts,Otago,D Cleaver,GR Hay,JA Duffy,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,4.2,4.2,Central Districts,Otago,D Cleaver,GR Hay,JA Duffy,1,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,4.3,4.3,Central Districts,Otago,GR Hay,D Cleaver,JA Duffy,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,4.4,4.4,Central Districts,Otago,GR Hay,D Cleaver,JA Duffy,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,4.5,4.5,Central Districts,Otago,GR Hay,D Cleaver,JA Duffy,4,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,4.6,4.6,Central Districts,Otago,GR Hay,D Cleaver,JA Duffy,1,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,5.1,5.1,Central Districts,Otago,GR Hay,D Cleaver,MB Bacon,1,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,5.2,5.2,Central Districts,Otago,D Cleaver,GR Hay,MB Bacon,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,5.3,5.3,Central Districts,Otago,D Cleaver,GR Hay,MB Bacon,1,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,5.4,5.4,Central Districts,Otago,GR Hay,D Cleaver,MB Bacon,2,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,5.5,5.5,Central Districts,Otago,GR Hay,D Cleaver,MB Bacon,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,5.6,5.6,Central Districts,Otago,GR Hay,D Cleaver,MB Bacon,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,6.1,6.1,Central Districts,Otago,D Cleaver,GR Hay,MJG Rippon,1,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,6.2,6.2,Central Districts,Otago,GR Hay,D Cleaver,MJG Rippon,4,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,6.3,6.3,Central Districts,Otago,GR Hay,D Cleaver,MJG Rippon,0,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,6.4,6.4,Central Districts,Otago,GR Hay,D Cleaver,MJG Rippon,1,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,6.5,6.5,Central Districts,Otago,D Cleaver,GR Hay,MJG Rippon,1,0,,,,,,,,,,,,,
1289613,2021/22,2021-12-18,"McLean Park, Napier",1,6.6,6.6,Central Districts,Otago,GR Hay,D Cleaver,MJG Rippon,1,0,,,,,,,,,,,,,
