match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,0.1,0.1,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,RR Simmonds,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,0.2,0.2,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,RR Simmonds,1,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,0.3,0.3,Janakpur Bolts,Lumbini Lions,Aasif Sheikh,AK Sah,RR Simmonds,1,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,0.4,0.4,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,RR Simmonds,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,0.5,0.5,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,RR Simmonds,4,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,0.6,0.6,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,RR Simmonds,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.1,1.1,Janakpur Bolts,Lumbini Lions,Aasif Sheikh,AK Sah,D Gupta,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.2,1.2,Janakpur Bolts,Lumbini Lions,Aasif Sheikh,AK Sah,D Gupta,1,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.3,1.3,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,D Gupta,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.4,1.4,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,D Gupta,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.5,1.5,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,D Gupta,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,1.6,1.6,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,D Gupta,0,1,,,,1,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,2.1,2.1,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,RR Simmonds,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,2.2,2.2,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,RR Simmonds,1,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,2.3,2.3,Janakpur Bolts,Lumbini Lions,Aasif Sheikh,AK Sah,RR Simmonds,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,2.4,2.4,Janakpur Bolts,Lumbini Lions,Aasif Sheikh,AK Sah,RR Simmonds,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,2.5,2.5,Janakpur Bolts,Lumbini Lions,Aasif Sheikh,AK Sah,RR Simmonds,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,2.6,2.6,Janakpur Bolts,Lumbini Lions,Aasif Sheikh,AK Sah,RR Simmonds,6,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,3.1,3.1,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,D Gupta,6,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,3.2,3.2,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,D Gupta,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,3.3,3.3,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,D Gupta,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,3.4,3.4,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,D Gupta,1,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,3.5,3.5,Janakpur Bolts,Lumbini Lions,Aasif Sheikh,AK Sah,D Gupta,4,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,3.6,3.6,Janakpur Bolts,Lumbini Lions,Aasif Sheikh,AK Sah,D Gupta,4,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,4.1,4.1,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,Abhishesh Gautam,6,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,4.2,4.2,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,Abhishesh Gautam,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,4.3,4.3,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,Abhishesh Gautam,6,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,4.4,4.4,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,Abhishesh Gautam,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,4.5,4.5,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,Abhishesh Gautam,0,4,,,4,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,4.6,4.6,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,Abhishesh Gautam,1,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,5.1,5.1,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,Saad Bin Zafar,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,5.2,5.2,Janakpur Bolts,Lumbini Lions,AK Sah,Aasif Sheikh,Saad Bin Zafar,1,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,5.3,5.3,Janakpur Bolts,Lumbini Lions,Aasif Sheikh,AK Sah,Saad Bin Zafar,0,0,,,,,,,caught,Aasif Sheikh,,,B Yadav,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,5.4,5.4,Janakpur Bolts,Lumbini Lions,BKEL Milantha,AK Sah,Saad Bin Zafar,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,5.5,5.5,Janakpur Bolts,Lumbini Lions,BKEL Milantha,AK Sah,Saad Bin Zafar,1,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,5.6,5.6,Janakpur Bolts,Lumbini Lions,AK Sah,BKEL Milantha,Saad Bin Zafar,6,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,6.1,6.1,Janakpur Bolts,Lumbini Lions,BKEL Milantha,AK Sah,B Yadav,0,1,1,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,6.2,6.1,Janakpur Bolts,Lumbini Lions,BKEL Milantha,AK Sah,B Yadav,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,6.3,6.2,Janakpur Bolts,Lumbini Lions,BKEL Milantha,AK Sah,B Yadav,1,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,6.4,6.3,Janakpur Bolts,Lumbini Lions,AK Sah,BKEL Milantha,B Yadav,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,6.5,6.4,Janakpur Bolts,Lumbini Lions,AK Sah,BKEL Milantha,B Yadav,0,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,6.6,6.5,Janakpur Bolts,Lumbini Lions,AK Sah,BKEL Milantha,B Yadav,2,0,,,,,,,,,,,,,
1462652,2024/25,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,6.7,6.6,Janakpur Bolts,Lumbini Lions,AK Sah,BKEL Milantha,B Yadav,1,0,,,,,,,,,,,,,
