match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
829789,2015,2015-05-08,"MA Chidambaram Stadium, Chepauk",1,0.1,0.1,Chennai Super Kings,Mumbai Indians,DR Smith,BB McCullum,MJ McClenaghan,2,0,,,,,,,,,,,,,
829789,2015,2015-05-08,"MA Chidambaram Stadium, Chepauk",1,0.2,0.2,Chennai Super Kings,Mumbai Indians,DR Smith,BB McCullum,MJ McClenaghan,0,0,,,,,,,,,,,,,
829789,2015,2015-05-08,"MA Chidambaram Stadium, Chepauk",1,0.3,0.3,Chennai Super Kings,Mumbai Indians,DR Smith,BB McCullum,MJ McClenaghan,0,0,,,,,,,,,,,,,
829789,2015,2015-05-08,"MA Chidambaram Stadium, Chepauk",1,0.4,0.4,Chennai Super Kings,Mumbai Indians,DR Smith,BB McCullum,MJ McClenaghan,0,0,,,,,,,,,,,,,
829789,2015,2015-05-08,"MA Chidambaram Stadium, Chepauk",1,0.5,0.5,Chennai Super Kings,Mumbai Indians,DR Smith,BB McCullum,MJ McClenaghan,1,0,,,,,,,,,,,,,
829789,2015,2015-05-08,"MA Chidambaram Stadium, Chepauk",1,0.6,0.6,Chennai Super Kings,Mumbai Indians,BB McCullum,DR Smith,MJ McClenaghan,0,0,,,,,,,,,,,,,
829789,2015,2015-05-08,"MA Chidambaram Stadium, Chepauk",1,1.1,1.1,Chennai Super Kings,Mumbai Indians,DR Smith,BB McCullum,M de Lange,0,0,,,,,,,,,,,,,
829789,2015,2015-05-08,"MA Chidambaram Stadium, Chepauk",1,1.2,1.2,Chennai Super Kings,Mumbai Indians,DR Smith,BB McCullum,M de Lange,0,0,,,,,,,,,,,,,
829789,2015,2015-05-08,"MA Chidambaram Stadium, Chepauk",1,1.3,1.3,Chennai Super Kings,Mumbai Indians,DR Smith,BB McCullum,M de Lange,0,5,5,,,,,,,,,,,,
829789,2015,2015-05-08,"MA Chidambaram Stadium, Chepauk",1,1.4,1.3,Chennai Super Kings,Mumbai Indians,DR Smith,BB McCullum,M de Lange,0,0,,,,,,,,,,,,,
829789,2015,2015-05-08,"MA Chidambaram Stadium, Chepauk",1,1.5,1.4,Chennai Super Kings,Mumbai Indians,DR Smith,BB McCullum,M de Lange,0,0,,,,,,,,,,,,,
