version,2.3.0
info,balls_per_over,6
info,team,Peru
info,team,Panama
info,gender,male
info,team_type,international
info,season,2026
info,date,2026/08/08
info,match_id,1545658
info,match_type,T20
info,match_type_number,4061
info,overs,20
info,event,South American Men's Championships
info,match_number,5
info,venue,"Los Pinos Polo Club 2, Cundinamarca"
info,city,Bogota
info,toss_winner,Panama
info,toss_decision,field
info,player_of_match,Lalu Bhai Ahir
info,target_overs,2,20
info,target_runs,2,96
info,winner,Panama
info,winner_wickets,3
info,player,Peru,HK Brahmbhatt
info,player,Peru,Suresh Kumar
info,player,Peru,R Chatterton
info,player,Peru,RL De silva
info,player,Peru,J Salazar
info,player,Peru,Nikhil Deshmukh
info,player,Peru,PH Shamdasani
info,player,Peru,Ross Hardie
info,player,Peru,RD Cespedes
info,player,Peru,RK Punjabi
info,player,Peru,JAC Cubas
info,player,Panama,Yusuf Bhoola
info,player,Panama,Irfan Hafejee
info,player,Panama,MY Bawa
info,player,Panama,Lalu Bhai Ahir
info,player,Panama,SP Guzman
info,player,Panama,Chetan Kumar Ahir
info,player,Panama,BB Ahir
info,player,Panama,Sufiyan Tarajia
info,player,Panama,Sarkar Ameji
info,player,Panama,Kalpesh Ahir
info,player,Panama,Abdul Makda
info,registry,people,Abdul Makda,7864bd38
info,registry,people,BB Ahir,59590c98
info,registry,people,Chetan Kumar Ahir,3c582768
info,registry,people,HK Brahmbhatt,fd57254c
info,registry,people,Irfan Hafejee,244009ae
info,registry,people,J Salazar,125d4980
info,registry,people,JAC Cubas,de1912da
info,registry,people,Kalpesh Ahir,a74a9dac
info,registry,people,Lalu Bhai Ahir,dcd05452
info,registry,people,MY Bawa,8ca63417
info,registry,people,Nikhil Deshmukh,44839bd7
info,registry,people,PH Shamdasani,591a0cfa
info,registry,people,R Chatterton,c9c57de3
info,registry,people,RD Cespedes,506ff443
info,registry,people,RK Punjabi,0f950a8f
info,registry,people,RL De silva,080c624a
info,registry,people,Ross Hardie,824596c2
info,registry,people,SP Guzman,37a1766e
info,registry,people,Sarkar Ameji,a04b5edc
info,registry,people,Sufiyan Tarajia,32737738
info,registry,people,Suresh Kumar,1b95b3cd
info,registry,people,Yusuf Bhoola,5afc0b37
