version,2.3.0
info,balls_per_over,6
info,team,Hampshire
info,team,Somerset
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/04/17
info,date,2026/04/18
info,date,2026/04/19
info,date,2026/04/20
info,event,County Championship
info,match_id,1513336
info,match_type,MDM
info,match_number,11
info,venue,"The Rose Bowl, Southampton"
info,city,Southampton
info,toss_winner,Hampshire
info,toss_decision,bat
info,umpire,James Middlebrook
info,umpire,NJ Llong
info,match_referee,Wayne Noon
info,winner,Somerset
info,winner_wickets,2
info,player,Hampshire,TE Albert
info,player,Hampshire,NRT Gubbins
info,player,Hampshire,TJ Prest
info,player,Hampshire,JS Lehmann
info,player,Hampshire,BC Brown
info,player,Hampshire,BA Mayes
info,player,Hampshire,LA Dawson
info,player,Hampshire,Codi Yusuf
info,player,Hampshire,KJ Abbott
info,player,Hampshire,EV Jack
info,player,Hampshire,S Baker
info,player,Somerset,AM Vaughan
info,player,Somerset,JF Thomas
info,player,Somerset,TA Lammonby
info,player,Somerset,JEK Rew
info,player,Somerset,TB Abell
info,player,Somerset,WCF Smeed
info,player,Somerset,C Overton
info,player,Somerset,L Gregory
info,player,Somerset,MJ Leach
info,player,Somerset,ARJ Ogborne
info,player,Somerset,JT Ball
info,registry,people,AM Vaughan,33a6488e
info,registry,people,ARJ Ogborne,88211932
info,registry,people,BA Mayes,f1541912
info,registry,people,BC Brown,8af86756
info,registry,people,C Overton,e9987a94
info,registry,people,Codi Yusuf,f2397e48
info,registry,people,EV Jack,52912da9
info,registry,people,JEK Rew,521595e7
info,registry,people,JF Thomas,bdd4bc21
info,registry,people,JS Lehmann,c96a215f
info,registry,people,JT Ball,3d0ed2f9
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,KJ Abbott,a9da7784
info,registry,people,L Gregory,06c2de82
info,registry,people,LA Dawson,4a461c24
info,registry,people,MJ Leach,3987e390
info,registry,people,NJ Llong,573fb985
info,registry,people,NRT Gubbins,c1a89821
info,registry,people,S Baker,78c12883
info,registry,people,TA Lammonby,73f1f6b0
info,registry,people,TB Abell,ba9258a7
info,registry,people,TE Albert,a6c17509
info,registry,people,TJ Prest,0207ff32
info,registry,people,WCF Smeed,4e18e961
info,registry,people,Wayne Noon,736e1761
